Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,"0,035819","-5,7525E-07","0,081279",0,0,0,"1719,7","250,5","8,5043E-06","11,589","1155,2","-0,00043656","1288,7",0,0,0,0,0,0,package://argo_v2/meshes/base_link.STL,"0,37647","0,37647","0,37647",1,0,0,0,0,0,0,package://argo_v2/meshes/base_link.STL,,base-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
top,"1,29447232620919","-0,108911094870915","1,85161801499112E-16",0,0,0,"268,196","49,6170529044795","5,49755382314613","1,58830630084734E-14","137,267140906939","7,00820882302427E-15","91,7318023780847",0,0,0,0,0,0,package://argo_v2/meshes/top.STL,0,"0,219607843137255","0,0274509803921569",1,0,0,0,0,0,0,package://argo_v2/meshes/top.STL,,superor-1,Origin_base_top,,base_top,fixed,"-0,28859",0,"0,34908","-1,5708",0,0,base_link,0,0,0,,,,,,,,,,,,
brdge,"1,04033991226211E-15","0,0629989167766","0,0499999999999999",0,0,0,"16,9737091947536","0,120706668200046","-7,71055909114614E-17","-5,38752534732447E-16","3,43735102494903","-4,74356800980588E-17","3,52976817782449",0,0,0,0,0,0,package://argo_v2/meshes/brdge.STL,0,"0,372549019607843","0,164705882352941",1,0,0,0,0,0,0,package://argo_v2/meshes/brdge.STL,,puente-1,Origin_top_brdge,,top_brdge,fixed,"0,91641",0,"0,77908","1,5708",0,"1,5708",base_link,0,0,0,,,,,,,,,,,,
W6,"-2,22044604925031E-16","-5,55111512312578E-17","-0,162637423408204",0,0,0,"101,205463824313","3,66317923670982","-4,81006393304282E-33","-7,14647583675023E-18","3,66317923670982","-1,69045854944496E-32","5,43484629444829",0,0,0,0,0,0,package://argo_v2/meshes/W6.STL,"0,792156862745098","0,819607843137255","0,933333333333333",1,0,0,0,0,0,0,package://argo_v2/meshes/W6.STL,,wheel-6,Origin_jo_w6,Axis_jo_w6,jo_w6,continuous,"1,0864","0,38","-0,18342","1,5708",0,0,base_link,0,0,1,,,,,,,,,,,,
W2,"-1,11022302462516E-16","-2,77555756156289E-17","-0,162637423408204",0,0,0,"101,205463824313","3,66317923670982","-4,80119742655688E-33","-7,14647583675023E-18","3,66317923670982","-2,40741243048404E-32","5,43484629444829",0,0,0,0,0,0,package://argo_v2/meshes/W2.STL,"0,792156862745098","0,819607843137255","0,933333333333333",1,0,0,0,0,0,0,package://argo_v2/meshes/W2.STL,,wheel-2,Origin_jo_w2,Axis_jo_w2,jo_w2,continuous,"0,39641","0,38","-0,18342","1,5708",0,0,base_link,0,0,1,,,,,,,,,,,,
W7,"-5,55111512312578E-17",0,"-0,162637423408204",0,0,0,"101,205463824313","3,66317923670982","8,74627649933776E-33","-5,29573736467459E-18","3,66317923670982","-2,40741243048404E-32","5,43484629444829",0,0,0,0,0,0,package://argo_v2/meshes/W7.STL,"0,792156862745098","0,819607843137255","0,933333333333333",1,0,0,0,0,0,0,package://argo_v2/meshes/W7.STL,,wheel-7,Origin_jo_w7,Axis_jo_w7,jo_w7,continuous,"-0,29359","0,38","-0,18342","1,5708",0,0,base_link,0,0,1,,,,,,,,,,,,
W8,"1,11022302462516E-16","-5,55111512312578E-17","-0,162637423408204",0,0,0,"101,205463824313","3,66317923670982","-4,81006393304282E-33","-7,14647583675023E-18","3,66317923670982","-1,69045854944496E-32","5,43484629444829",0,0,0,0,0,0,package://argo_v2/meshes/W8.STL,"0,792156862745098","0,819607843137255","0,933333333333333",1,0,0,0,0,0,0,package://argo_v2/meshes/W8.STL,,wheel-8,Origin_jo_w8,Axis_jo_w8,jo_w8,continuous,"-0,98359","0,38","-0,18342","1,5708",0,0,base_link,0,0,1,,,,,,,,,,,,
W3,0,0,"-0,162637423408204",0,0,0,"101,205463824313","3,66317923670982","-2,22044604925031E-16","-1,59843334544135E-16","3,66317923670982","-2,01732865994459E-17","5,43484629444829",0,0,0,0,0,0,package://argo_v2/meshes/W3.STL,"0,792156862745098","0,819607843137255","0,933333333333333",1,0,0,0,0,0,0,package://argo_v2/meshes/W3.STL,,wheel-3,Origin_jo_w3,Axis_jo_w3,jo_w3,continuous,"1,0864","-0,38","-0,18342","1,5708","0,39309","-3,1416",base_link,0,0,1,,,,,,,,,,,,
W5,"5,55111512312578E-17","1,11022302462516E-16","-0,162637423408204",0,0,0,"101,205463824313","3,66317923670982",0,"-8,74055653311197E-17","3,66317923670982","1,16509088889507E-17","5,43484629444829",0,0,0,0,0,0,package://argo_v2/meshes/W5.STL,"0,792156862745098","0,819607843137255","0,933333333333333",1,0,0,0,0,0,0,package://argo_v2/meshes/W5.STL,,wheel-5,Origin_jo_w5,Axis_jo_w5,jo_w5,continuous,"0,39641","-0,38","-0,18342","1,5708","0,39309","-3,1416",base_link,0,0,1,,,,,,,,,,,,
W4,"-5,55111512312578E-17","-8,32667268468867E-17","-0,162637423408204",0,0,0,"101,205463824313","3,66317923670982","-2,22044604925031E-16","-1,59843334544135E-16","3,66317923670982","-2,01732865994467E-17","5,43484629444829",0,0,0,0,0,0,package://argo_v2/meshes/W4.STL,"0,792156862745098","0,819607843137255","0,933333333333333",1,0,0,0,0,0,0,package://argo_v2/meshes/W4.STL,,wheel-4,Origin_jo_w4,Axis_jo_w4,jo_w4,continuous,"-0,29359","-0,38","-0,18342","1,5708","0,39309","-3,1416",base_link,0,0,1,,,,,,,,,,,,
W1,0,"-2,77555756156289E-17","-0,162637423408204",0,0,0,"101,205463824313","3,66317923670982","1,11022302462516E-16","-1,00847316269664E-17","3,66317923670982","2,17202693956188E-18","5,43484629444829",0,0,0,0,0,0,package://argo_v2/meshes/W1.STL,"0,792156862745098","0,819607843137255","0,933333333333333",1,0,0,0,0,0,0,package://argo_v2/meshes/W1.STL,,wheel-1,Origin_jo_w1,Axis_jo_w1,jo_w1,continuous,"-0,98359","-0,38","-0,18342","1,5708","0,39309","-3,1416",base_link,0,0,1,,,,,,,,,,,,
front_cam,0,0,"-0,0150000000000001",0,0,0,"0,115453530019425","4,40166583199059E-05",0,"-1,82174905908648E-20","4,40166583199058E-05","-1,61820021637503E-20","7,07152871368979E-05",0,0,0,0,0,0,package://argo_v2/meshes/front_cam.STL,"0,792156862745098","0,819607843137255","0,933333333333333",1,0,0,0,0,0,0,package://argo_v2/meshes/front_cam.STL,,front_cam-1,Origin_front_cam_joint,Axis_front_cam_joint,front_cam_joint,continuous,"1,0164","0,037112","0,89408","-1,5708","1,179","1,5708",base_link,0,0,1,,,,,,,,,,,,
rear_cam,"6,93889390390723E-18",0,"0,015",0,0,0,"0,115453530019425","4,40166583199058E-05","-3,42235207630587E-36","7,53363137661562E-21","4,40166583199058E-05","2,44908279915527E-20","7,07152871368979E-05",0,0,0,0,0,0,package://argo_v2/meshes/rear_cam.STL,"0,792156862745098","0,819607843137255","0,933333333333333",1,0,0,0,0,0,0,package://argo_v2/meshes/rear_cam.STL,,rear_cam-1,Origin_rear_cam_joint,Axis_rear_cam_joint,rear_cam_joint,continuous,"0,88641","0,037112","0,89408","-1,5708",0,"-1,5708",base_link,0,0,1,,,,,,,,,,,,
rover_gp,"0,0301308975542904","-2,63724109217378E-09","0,0102553549737826",0,0,0,"0,0702100451640409","2,1783864357282E-05","2,6914604596263E-11","-1,56979730664447E-09","2,02785504843164E-05","5,60595894600677E-12","3,64793601068854E-05",0,0,0,0,0,0,package://argo_v2/meshes/rover_gp.STL,"0,647058823529412","0,513725490196078",0,1,0,0,0,0,0,0,package://argo_v2/meshes/rover_gp.STL,,gps_rover-1,Origin_rover_gps_link,Axis_rover_gps_link,rover_gps_link,prismatic,"0,91596","-0,57275","0,93408",0,0,0,base_link,1,0,0,0,0,0,0,,,,,,,,
base_gps,"0,0301308975542902","-2,63724109217378E-09","0,0102553549737822",0,0,0,"0,0702100451640406","2,17838643572819E-05","2,69146046062537E-11","-1,56979730664984E-09","2,02785504843163E-05","5,60595895952449E-12","3,64793601068852E-05",0,0,0,0,0,0,package://argo_v2/meshes/base_gps.STL,"0,647058823529412","0,513725490196078",0,1,0,0,0,0,0,0,package://argo_v2/meshes/base_gps.STL,,gps_base-1,Origin_bage_gps_link,Axis_bage_gps_link,bage_gps_link,prismatic,"0,91956","0,57253","0,93408",0,0,0,base_link,1,0,0,0,0,0,0,,,,,,,,
imu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,package://argo_v2/meshes/imu.STL,1,1,1,1,0,0,0,0,0,0,package://argo_v2/meshes/imu.STL,,3DM-GX5-25.stp-1/3065-0163_for marketing views only_DNU.stp-1,Origin_imu_joint,Axis_imu_joint,imu_joint,prismatic,"1,30635060914358","-0,0204979424251575","0,634949081448957","1,5707963267949",0,0,base_link,1,0,0,0,0,0,0,,,,,,,,
