[0.334s] Invoking command in '/home/sara/aubo_ws/build/argo': CMAKE_PREFIX_PATH=${CMAKE_PREFIX_PATH}:/home/sara/ros2_ws/install/rqt_joint_trajectory_controller:/home/sara/ros2_ws/install/rqt_controller_manager:/home/sara/ros2_ws/install/ros2controlcli:/home/sara/ros2_ws/install/ros2_controllers_test_nodes:/home/sara/aubo_ws/install/ros2_controllers_test_nodes:/opt/ros/humble /usr/bin/cmake --build /home/sara/aubo_ws/build/argo -- -j8 -l8
[0.394s] Invoked command in '/home/sara/aubo_ws/build/argo' returned '0': CMAKE_PREFIX_PATH=${CMAKE_PREFIX_PATH}:/home/sara/ros2_ws/install/rqt_joint_trajectory_controller:/home/sara/ros2_ws/install/rqt_controller_manager:/home/sara/ros2_ws/install/ros2controlcli:/home/sara/ros2_ws/install/ros2_controllers_test_nodes:/home/sara/aubo_ws/install/ros2_controllers_test_nodes:/opt/ros/humble /usr/bin/cmake --build /home/sara/aubo_ws/build/argo -- -j8 -l8
[0.518s] Invoking command in '/home/sara/aubo_ws/build/argo': CMAKE_PREFIX_PATH=${CMAKE_PREFIX_PATH}:/home/sara/ros2_ws/install/rqt_joint_trajectory_controller:/home/sara/ros2_ws/install/rqt_controller_manager:/home/sara/ros2_ws/install/ros2controlcli:/home/sara/ros2_ws/install/ros2_controllers_test_nodes:/home/sara/aubo_ws/install/ros2_controllers_test_nodes:/opt/ros/humble /usr/bin/cmake --install /home/sara/aubo_ws/build/argo
[0.531s] -- Install configuration: ""
[0.532s] -- Execute custom install script
[0.533s] -- Up-to-date symlink: /home/sara/aubo_ws/install/argo/share/argo/launch/argo.launch.py
[0.533s] -- Up-to-date symlink: /home/sara/aubo_ws/install/argo/share/argo/launch/spawn_robot_launch_v4.launch.py
[0.533s] -- Up-to-date symlink: /home/sara/aubo_ws/install/argo/share/argo/urdf/argo.csv
[0.534s] -- Up-to-date symlink: /home/sara/aubo_ws/install/argo/share/argo/urdf/argo.urdf
[0.534s] -- Up-to-date symlink: /home/sara/aubo_ws/install/argo/share/argo/meshes/W1.STL
[0.535s] -- Up-to-date symlink: /home/sara/aubo_ws/install/argo/share/argo/meshes/W2.STL
[0.535s] -- Up-to-date symlink: /home/sara/aubo_ws/install/argo/share/argo/meshes/W3.STL
[0.536s] -- Up-to-date symlink: /home/sara/aubo_ws/install/argo/share/argo/meshes/W4.STL
[0.536s] -- Up-to-date symlink: /home/sara/aubo_ws/install/argo/share/argo/meshes/W5.STL
[0.536s] -- Up-to-date symlink: /home/sara/aubo_ws/install/argo/share/argo/meshes/W6.STL
[0.536s] -- Up-to-date symlink: /home/sara/aubo_ws/install/argo/share/argo/meshes/W7.STL
[0.537s] -- Up-to-date symlink: /home/sara/aubo_ws/install/argo/share/argo/meshes/W8.STL
[0.537s] -- Up-to-date symlink: /home/sara/aubo_ws/install/argo/share/argo/meshes/base_gps.STL
[0.537s] -- Up-to-date symlink: /home/sara/aubo_ws/install/argo/share/argo/meshes/base_link.STL
[0.538s] -- Up-to-date symlink: /home/sara/aubo_ws/install/argo/share/argo/meshes/brdge.STL
[0.538s] -- Up-to-date symlink: /home/sara/aubo_ws/install/argo/share/argo/meshes/front_cam.STL
[0.539s] -- Up-to-date symlink: /home/sara/aubo_ws/install/argo/share/argo/meshes/imu.STL
